 Seconds
            1     524        1
            2     291        1
            3     303        1
            4     606        1
            5    1131        1
            6     272        1
            7     758        1
            8     653        1
            9     128        1
            10     186       1
            11     128       1
            12    1394       1
            13     513       1
            14    1284       1
            15     758       1
            16    2088       1
            17     148       1
            18     303       1
            19     652       1
            20     828       1
            21     478       1
            22    2440       1
            23     478       1
            24     372       1
            25     443       1
            26     585       1
            27     303       1
            28     397       1
            29     571       1
            30     671       1
            31     303       1
            32    1422       1
            33     898       1
            34     233       1
            35    1772       1
            36    1752       1
            37     326       1
            38     956       1
            39     676       1
            40    2888       1
            41       5       1
            42     163       1
            43    1131       1
            44    2671       1
            45     503       1
            46     618       1
            47    1224       1
            48     478       1
            49    1014       1
            50    4882       1
            51     781       1
            52     198       1
            53    1625       1
            54     828       1
            55    3451       1
            56    2314       1
            57     967       1
            58    2229       1
            59    1620       1
            60     612       1
            61     536       1
            62     649       1
            63    1935       1
            64      93       1
            65    3103       1
